Date,FLRHOOTL,FLRHIFVL,FLRHIOVL,FLRHIOVA,FLRHIOFA,FLRHIOFB,FLRHIOI,FLRHIOP,FLRHIFTL,FLRHIFTA,FLRHIFVA,FLRHOOTA,FLRHIFFA,FLRHIFFB,FLRHIFI,FLRHIFP,FLRHILA,FLRHILB,FLRHIVA,FLRHIVB,FLRHIOTA,FLRHIOTL,FLRHOVC,FLRHOVB,FLRHOOVL,FLRHOOVA,FLRHOOFA,FLRHOOFB,FLRHOOI,FLRHOOP,FLRHOFTL,FLRHOFTA,FLRHOFVL,FLRHOFVA,FLRHOFFA,FLRHOFFB,FLRHOFI,FLRHOFP,FLRHOLA,FLRHOLB,FLRHOVA,FLRHIVC
2019-07-31 00:00:00,3.23,3.27,3.6,3.61,3.64,3.72,3.88,3.49,3.02,3.05,3.28,3.25,2.63,2.77,3.17,2.96,3.05,3.05,3.06,3.05,3.62,3.6,2.74,2.68,3.23,3.24,3.27,3.45,3.92,3.18,2.69,2.71,2.91,2.93,2.3,2.5,3.39,2.66,2.7,2.74,2.71,3.04
2019-08-31 00:00:00,3.2,3.25,3.58,3.6,3.55,3.67,3.84,3.44,3.01,3.04,3.26,3.22,2.64,2.79,3.19,2.94,3.04,3.04,3.04,3.03,3.58,3.56,2.71,2.67,3.21,3.23,3.17,3.39,3.89,3.15,2.68,2.69,2.91,2.92,2.3,2.51,3.38,2.64,2.68,2.73,2.7,3.06
2019-09-30 00:00:00,3.17,3.24,3.56,3.58,3.46,3.64,3.8,3.43,3.01,3.03,3.24,3.19,2.65,2.82,3.17,2.93,3.01,3.06,3.02,3.01,3.55,3.53,2.69,2.65,3.2,3.21,3.09,3.35,3.88,3.12,2.7,2.7,2.91,2.91,2.29,2.6,3.37,2.64,2.66,2.74,2.69,3.04
2019-10-31 00:00:00,3.14,3.22,3.55,3.56,3.38,3.57,3.77,3.39,2.98,3,3.22,3.16,2.61,2.79,3.12,2.9,2.98,3.01,3,2.97,3.51,3.49,2.68,2.63,3.18,3.2,3.01,3.27,3.86,3.09,2.67,2.68,2.89,2.9,2.27,2.61,3.32,2.62,2.65,2.74,2.69,2.96
2019-11-30 00:00:00,3.11,3.19,3.53,3.55,3.31,3.51,3.73,3.36,2.97,2.98,3.18,3.13,2.6,2.79,3.1,2.89,2.96,2.99,2.96,2.97,3.48,3.46,2.66,2.64,3.17,3.18,2.93,3.22,3.83,3.07,2.67,2.67,2.86,2.86,2.27,2.6,3.27,2.61,2.63,2.73,2.67,2.99
2019-12-31 00:00:00,3.08,3.17,3.52,3.53,3.24,3.21,3.7,3.32,2.96,2.96,3.15,3.09,2.59,2.43,3.1,2.87,2.94,2.99,2.95,2.95,3.44,3.42,2.62,2.57,3.15,3.17,2.86,2.75,3.81,3.03,2.61,2.62,2.86,2.85,2.16,2.06,3.27,2.54,2.58,2.67,2.62,2.96
2020-01-31 00:00:00,3.04,3.13,3.5,3.51,3.17,2.86,3.66,3.29,2.92,2.92,3.11,3.05,2.55,2.33,3.07,2.82,2.91,2.94,2.91,2.91,3.4,3.38,2.55,2.49,3.14,3.15,2.79,2.4,3.79,2.99,2.55,2.55,2.81,2.8,2.11,2,3.2,2.47,2.51,2.61,2.56,2.91
2020-02-29 00:00:00,3.01,3.11,3.48,3.49,3.11,2.64,3.63,3.26,2.89,2.89,3.08,3.02,2.54,2.41,3.03,2.79,2.87,2.93,2.88,2.88,3.37,3.35,2.54,2.46,3.13,3.14,2.73,2.27,3.77,2.96,2.53,2.52,2.8,2.79,2.1,2,3.25,2.45,2.49,2.58,2.53,2.88
2020-03-31 00:00:00,2.98,3.09,3.47,3.47,3.05,2.52,3.59,3.22,2.88,2.88,3.08,2.99,2.54,2.4,3.01,2.79,2.87,2.92,2.87,2.87,3.34,3.31,2.51,2.45,3.11,3.12,2.68,2.19,3.75,2.93,2.5,2.51,2.78,2.78,2.09,1.99,3.16,2.43,2.47,2.58,2.52,2.89
2020-04-30 00:00:00,2.93,3.09,3.49,3.48,3.01,2.53,3.56,3.22,2.83,2.83,3.06,2.94,2.47,2.36,2.97,2.73,2.82,2.86,2.82,2.83,3.33,3.31,2.48,2.42,3.09,3.1,2.6,2.13,3.7,2.89,2.46,2.47,2.77,2.78,2.02,2.01,3.17,2.4,2.45,2.52,2.48,2.83
2020-05-31 00:00:00,2.89,3.08,3.47,3.47,2.95,2.48,3.53,3.18,2.79,2.8,3.06,2.91,2.42,2.44,2.95,2.69,2.79,2.82,2.79,2.78,3.29,3.28,2.44,2.39,3.08,3.09,2.54,2.11,3.68,2.85,2.42,2.44,2.77,2.77,1.98,2.04,3.22,2.35,2.41,2.47,2.44,2.81
2020-06-30 00:00:00,2.86,3.05,3.46,3.45,2.88,2.46,3.5,3.15,2.77,2.77,3.03,2.87,2.4,2.53,2.89,2.69,2.76,2.79,2.76,2.77,3.26,3.24,2.41,2.36,3.06,3.07,2.48,2.1,3.67,2.82,2.4,2.41,2.76,2.76,1.95,2.1,3.21,2.34,2.39,2.43,2.42,2.77
2020-07-31 00:00:00,2.82,3.05,3.44,3.44,2.81,2.46,3.45,3.11,2.73,2.75,3.02,2.84,2.38,2.58,2.85,2.67,2.73,2.79,2.75,2.73,3.22,3.2,2.4,2.36,3.05,3.06,2.42,2.1,3.65,2.79,2.38,2.39,2.73,2.73,1.96,2.15,3.17,2.33,2.37,2.44,2.4,2.74
2020-08-31 00:00:00,2.79,3.04,3.42,3.42,2.76,2.47,3.43,3.08,2.73,2.74,3.01,2.81,2.38,2.65,2.87,2.66,2.73,2.77,2.73,2.72,3.18,3.16,2.44,2.33,3.04,3.04,2.37,2.1,3.63,2.76,2.38,2.39,2.72,2.72,1.98,2.23,3.19,2.31,2.37,2.42,2.38,2.78
2020-09-30 00:00:00,2.76,3,3.4,3.4,2.71,2.47,3.39,3.05,2.71,2.72,2.97,2.78,2.38,2.66,2.85,2.63,2.71,2.75,2.7,2.7,3.15,3.12,2.39,2.32,3.02,3.03,2.33,2.1,3.6,2.73,2.37,2.37,2.69,2.68,1.98,2.29,3.16,2.3,2.35,2.41,2.37,2.75
2020-10-31 00:00:00,2.73,2.99,3.39,3.37,2.67,2.48,3.34,3.01,2.71,2.71,2.95,2.75,2.39,2.68,2.85,2.62,2.7,2.76,2.71,2.69,3.11,3.09,2.42,2.32,3.01,3.01,2.29,2.11,3.59,2.7,2.38,2.37,2.69,2.68,1.98,2.39,3.14,2.31,2.36,2.41,2.38,2.74
2020-11-30 00:00:00,2.71,2.94,3.37,3.35,2.63,2.49,3.31,2.99,2.7,2.7,2.92,2.72,2.38,2.73,2.83,2.62,2.69,2.74,2.71,2.68,3.08,3.06,2.41,2.33,2.99,2.99,2.25,2.11,3.57,2.68,2.38,2.37,2.65,2.63,2,2.44,3.15,2.3,2.35,2.41,2.37,2.71
2020-12-31 00:00:00,2.68,2.9,3.35,3.33,2.6,2.53,3.27,2.96,2.76,2.75,2.88,2.7,2.54,2.91,2.88,2.62,2.74,2.84,2.76,2.73,3.05,3.03,2.48,2.41,2.98,2.98,2.23,2.12,3.55,2.65,2.46,2.43,2.62,2.59,2.18,2.7,3.23,2.37,2.41,2.51,2.42,2.75
2021-01-31 00:00:00,2.67,2.89,3.33,3.31,2.58,2.6,3.24,2.94,2.83,2.8,2.86,2.68,2.68,3.21,2.93,2.72,2.78,2.93,2.81,2.79,3.03,3.01,2.54,2.46,2.96,2.96,2.21,2.15,3.53,2.63,2.53,2.49,2.6,2.56,2.34,2.94,3.23,2.42,2.45,2.61,2.48,2.8
2021-02-28 00:00:00,2.66,2.84,3.32,3.29,2.58,2.66,3.22,2.93,2.84,2.79,2.8,2.66,2.75,3.31,2.94,2.7,2.77,2.94,2.81,2.79,3.01,3,2.54,2.48,2.94,2.94,2.21,2.19,3.52,2.62,2.56,2.5,2.57,2.52,2.42,3.07,3.32,2.44,2.46,2.64,2.49,2.77
2021-03-31 00:00:00,2.65,2.81,3.3,3.27,2.57,2.73,3.2,2.92,2.86,2.81,2.77,2.65,2.86,3.52,2.95,2.73,2.79,3.01,2.82,2.81,3,2.99,2.58,2.51,2.92,2.91,2.2,2.24,3.51,2.61,2.6,2.53,2.55,2.49,2.58,3.27,3.22,2.47,2.48,2.73,2.51,2.79
2021-04-30 00:00:00,2.64,2.77,3.27,3.24,2.57,2.84,3.18,2.91,2.88,2.83,2.74,2.64,3.08,3.81,3,2.72,2.8,3.07,2.84,2.83,2.98,2.98,2.6,2.53,2.9,2.89,2.21,2.33,3.49,2.6,2.6,2.54,2.51,2.46,2.81,3.55,3.24,2.48,2.49,2.78,2.52,2.81
2021-05-31 00:00:00,2.63,2.75,3.26,3.22,2.58,2.94,3.17,2.9,2.87,2.83,2.72,2.63,3.34,4.11,3.02,2.72,2.79,3.11,2.84,2.83,2.97,2.97,2.55,2.52,2.89,2.87,2.22,2.45,3.48,2.59,2.57,2.52,2.47,2.43,3.06,3.84,3.19,2.46,2.46,2.81,2.51,2.82
2021-06-30 00:00:00,2.78,2.95,3.46,3.42,2.59,3.06,3.29,3.05,3.04,3.01,2.93,2.78,3.56,4.45,3.2,2.89,2.98,3.3,3.02,3,3.11,3.11,2.73,2.68,3.09,3.07,2.24,2.62,3.67,2.74,2.73,2.7,2.63,2.61,3.31,4.11,3.41,2.64,2.65,2.97,2.7,3
2021-07-31 00:00:00,3.07,3.4,3.91,3.88,2.61,3.21,3.59,3.35,3.48,3.45,3.39,3.08,4,4.73,3.63,3.33,3.42,3.72,3.46,3.45,3.42,3.4,3.17,3.09,3.52,3.52,2.26,2.78,4.1,3.03,3.12,3.12,3.05,3.05,3.69,4.54,3.82,3.05,3.07,3.37,3.1,3.45
2021-08-31 00:00:00,3.39,3.87,4.38,4.36,2.63,3.24,3.9,3.68,3.9,3.89,3.86,3.41,4.4,5.19,4.07,3.78,3.86,4.19,3.91,3.9,3.74,3.71,3.63,3.53,4,3.99,2.28,2.94,4.54,3.36,3.53,3.55,3.49,3.51,4.1,5.06,4.3,3.48,3.5,3.78,3.53,3.89
2021-09-30 00:00:00,3.71,4.32,4.83,4.81,2.64,3.31,4.22,3.99,4.34,4.34,4.32,3.73,4.79,5.58,4.52,4.22,4.31,4.63,4.34,4.32,4.06,4.02,4.05,3.97,4.45,4.44,2.3,3.12,4.98,3.67,3.97,3.99,3.94,3.96,4.45,5.13,4.66,3.93,3.94,4.21,3.97,4.35
2021-10-31 00:00:00,4.02,4.73,5.26,5.25,2.66,3.38,4.54,4.31,4.74,4.76,4.75,4.04,5.08,5.71,4.95,4.64,4.73,5.06,4.76,4.77,4.37,4.32,4.48,4.4,4.87,4.88,2.33,3.31,5.4,3.98,4.38,4.4,4.35,4.38,4.7,5.08,5.1,4.34,4.36,4.6,4.37,4.76
2021-11-30 00:00:00,4.19,4.92,5.47,5.46,2.69,3.44,4.71,4.48,4.93,4.96,4.95,4.22,5.26,5.72,5.16,4.83,4.94,5.23,4.96,4.95,4.54,4.48,4.69,4.6,5.08,5.09,2.36,3.5,5.62,4.16,4.58,4.6,4.56,4.58,4.88,5.31,5.32,4.54,4.56,4.79,4.57,4.98
2021-12-31 00:00:00,4.36,5.11,5.67,5.66,2.72,3.52,4.87,4.64,5.12,5.15,5.14,4.39,5.38,5.92,5.35,5.02,5.12,5.47,5.15,5.14,4.71,4.64,4.87,4.8,5.29,5.29,2.4,3.71,5.82,4.33,4.8,4.81,4.78,4.8,5.1,5.48,5.54,4.75,4.78,5.02,4.8,5.12
2022-01-31 00:00:00,4.53,5.29,5.85,5.85,2.75,3.56,5.03,4.81,5.3,5.34,5.33,4.56,5.56,6.25,5.52,5.22,5.31,5.69,5.34,5.35,4.87,4.8,5.04,5,5.48,5.49,2.44,3.86,6.01,4.49,4.99,5,4.98,4.99,5.22,5.71,5.65,4.95,4.96,5.22,4.98,5.32
2022-02-28 00:00:00,4.53,5.24,5.81,5.82,2.78,3.6,5.04,4.81,5.26,5.29,5.28,4.56,5.63,6.25,5.48,5.18,5.26,5.65,5.3,5.29,4.88,4.81,5.04,4.98,5.45,5.46,2.46,3.94,6,4.5,4.97,4.98,4.95,4.96,5.33,5.96,5.7,4.92,4.93,5.2,4.95,5.29
2022-03-31 00:00:00,4.69,5.44,5.99,6,2.84,3.63,5.2,4.97,5.45,5.49,5.48,4.72,5.62,6.2,5.67,5.37,5.46,5.83,5.49,5.48,5.04,4.96,5.24,5.18,5.63,5.65,2.52,4.02,6.18,4.66,5.17,5.18,5.15,5.17,5.36,6.07,5.73,5.13,5.14,5.41,5.16,5.49
2022-04-30 00:00:00,4.86,5.7,6.18,6.19,2.89,3.67,5.37,5.14,5.71,5.73,5.73,4.9,5.75,6.6,5.9,5.63,5.7,6.08,5.74,5.75,5.21,5.13,5.49,5.43,5.83,5.85,2.58,4.08,6.38,4.84,5.43,5.43,5.41,5.42,5.53,6.05,6.05,5.38,5.39,5.67,5.41,5.7
2022-05-31 00:00:00,4.9,5.69,6.14,6.16,2.93,3.71,5.39,5.18,5.69,5.72,5.71,4.93,5.77,6.58,5.89,5.61,5.68,6.08,5.72,5.7,5.24,5.16,5.47,5.41,5.8,5.82,2.62,4.15,6.37,4.87,5.42,5.41,5.4,5.41,5.55,5.99,6.07,5.37,5.37,5.65,5.4,5.72
2022-06-30 00:00:00,5.11,5.91,6.33,6.36,3.01,3.77,5.58,5.4,5.91,5.93,5.94,5.14,5.71,6.11,6.06,5.84,5.9,6.26,5.94,5.93,5.45,5.38,5.69,5.65,6.01,6.03,2.7,4.24,6.58,5.08,5.65,5.65,5.65,5.66,5.52,5.86,6.29,5.6,5.61,5.86,5.64,5.92
2022-07-31 00:00:00,5.35,6.22,6.54,6.57,3.17,3.87,5.82,5.63,6.2,6.21,6.24,5.37,5.91,6.16,6.34,6.13,6.18,6.48,6.28,6.19,5.68,5.62,5.98,5.92,6.22,6.24,2.84,4.35,6.8,5.32,5.93,5.92,5.95,5.94,5.68,5.9,6.54,5.87,5.89,6.1,5.91,6.2
2022-08-31 00:00:00,5.41,6.19,6.52,6.54,3.27,3.97,5.86,5.68,6.19,6.21,6.22,5.42,6.06,6.55,6.33,6.13,6.18,6.53,6.22,6.19,5.73,5.68,5.98,5.92,6.2,6.23,2.95,4.45,6.8,5.37,5.94,5.93,5.94,5.95,5.81,6.05,6.54,5.89,5.9,6.13,5.93,6.19
2022-09-30 00:00:00,5.46,6.27,6.49,6.51,3.36,4.07,5.89,5.73,6.26,6.27,6.28,5.47,6.09,6.78,6.39,6.19,6.24,6.6,6.29,6.27,5.77,5.73,6.02,5.97,6.18,6.2,3.03,4.53,6.78,5.41,5.99,5.98,5.99,5.99,5.86,6.22,6.58,5.94,5.95,6.19,5.98,6.22
2022-10-31 00:00:00,5.51,6.28,6.47,6.49,3.43,4.16,5.93,5.78,6.28,6.29,6.29,5.51,6.17,7.08,6.41,6.21,6.26,6.59,6.31,6.27,5.82,5.78,6.02,6,6.16,6.18,3.11,4.6,6.77,5.47,6.01,6,6.01,6,5.94,6.4,6.59,5.95,5.97,6.17,6,6.25
