,Police region,DFFH region,Local government area,Financial year,Incidents,Period,Rate_per_100k
14,Eastern,Goulburn,Greater Shepparton,2019-20,1611,2020-06-30 00:00:00,2352.7
93,Eastern,Goulburn,Greater Shepparton,2020-21,1623,2021-06-30 00:00:00,2368.4
172,Eastern,Goulburn,Greater Shepparton,2021-22,1726,2022-06-30 00:00:00,2502.8
251,Eastern,Goulburn,Greater Shepparton,2022-23,1746,2023-06-30 00:00:00,2525.5
330,Eastern,Goulburn,Greater Shepparton,2023-24,2062,2024-06-30 00:00:00,2970.9
15,Eastern,Goulburn,Mitchell,2019-20,1092,2020-06-30 00:00:00,2271.5
94,Eastern,Goulburn,Mitchell,2020-21,1222,2021-06-30 00:00:00,2458.2
173,Eastern,Goulburn,Mitchell,2021-22,984,2022-06-30 00:00:00,1904
252,Eastern,Goulburn,Mitchell,2022-23,1092,2023-06-30 00:00:00,2032.6
331,Eastern,Goulburn,Mitchell,2023-24,1327,2024-06-30 00:00:00,2371.8
16,Eastern,Goulburn,Moira,2019-20,457,2020-06-30 00:00:00,1508.4
95,Eastern,Goulburn,Moira,2020-21,495,2021-06-30 00:00:00,1630.1
174,Eastern,Goulburn,Moira,2021-22,480,2022-06-30 00:00:00,1569.4
253,Eastern,Goulburn,Moira,2022-23,624,2023-06-30 00:00:00,2027.6
332,Eastern,Goulburn,Moira,2023-24,648,2024-06-30 00:00:00,2086.3
17,Eastern,Goulburn,Murrindindi,2019-20,191,2020-06-30 00:00:00,1284.3
96,Eastern,Goulburn,Murrindindi,2020-21,208,2021-06-30 00:00:00,1373.9
175,Eastern,Goulburn,Murrindindi,2021-22,217,2022-06-30 00:00:00,1413.4
254,Eastern,Goulburn,Murrindindi,2022-23,187,2023-06-30 00:00:00,1207.9
333,Eastern,Goulburn,Murrindindi,2023-24,187,2024-06-30 00:00:00,1201.1
18,Eastern,Goulburn,Strathbogie,2019-20,152,2020-06-30 00:00:00,1362.3
97,Eastern,Goulburn,Strathbogie,2020-21,184,2021-06-30 00:00:00,1618.6
176,Eastern,Goulburn,Strathbogie,2021-22,165,2022-06-30 00:00:00,1432.9
255,Eastern,Goulburn,Strathbogie,2022-23,145,2023-06-30 00:00:00,1252.4
334,Eastern,Goulburn,Strathbogie,2023-24,148,2024-06-30 00:00:00,1275.4
19,Eastern,Inner Eastern Melbourne,Boroondara,2019-20,950,2020-06-30 00:00:00,534.1
98,Eastern,Inner Eastern Melbourne,Boroondara,2020-21,991,2021-06-30 00:00:00,583.7
177,Eastern,Inner Eastern Melbourne,Boroondara,2021-22,1020,2022-06-30 00:00:00,601.3
256,Eastern,Inner Eastern Melbourne,Boroondara,2022-23,1047,2023-06-30 00:00:00,599.9
335,Eastern,Inner Eastern Melbourne,Boroondara,2023-24,1075,2024-06-30 00:00:00,603.7
20,Eastern,Inner Eastern Melbourne,Manningham,2019-20,764,2020-06-30 00:00:00,596.9
99,Eastern,Inner Eastern Melbourne,Manningham,2020-21,915,2021-06-30 00:00:00,727.2
178,Eastern,Inner Eastern Melbourne,Manningham,2021-22,948,2022-06-30 00:00:00,749
257,Eastern,Inner Eastern Melbourne,Manningham,2022-23,1002,2023-06-30 00:00:00,773.7
336,Eastern,Inner Eastern Melbourne,Manningham,2023-24,1020,2024-06-30 00:00:00,773.6
21,Eastern,Inner Eastern Melbourne,Monash,2019-20,1446,2020-06-30 00:00:00,720.2
100,Eastern,Inner Eastern Melbourne,Monash,2020-21,1810,2021-06-30 00:00:00,938.3
179,Eastern,Inner Eastern Melbourne,Monash,2021-22,1951,2022-06-30 00:00:00,1000.1
258,Eastern,Inner Eastern Melbourne,Monash,2022-23,1847,2023-06-30 00:00:00,907.3
337,Eastern,Inner Eastern Melbourne,Monash,2023-24,1926,2024-06-30 00:00:00,916.3
22,Eastern,Inner Eastern Melbourne,Whitehorse,2019-20,1301,2020-06-30 00:00:00,735.9
101,Eastern,Inner Eastern Melbourne,Whitehorse,2020-21,1461,2021-06-30 00:00:00,854
