F3 AGGREGATE MEASURES OF AUSTRALIAN CORPORATE BOND YIELDS: NON-FINANCIAL CORPORATE (NFC) BONDS,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Non-financial corporate A-rated bonds – Effective tenor – 3 year target tenor,Non-financial corporate A-rated bonds – Yield – 3 year target tenor,Non-financial corporate A-rated bonds – Effective tenor – 5 year target tenor,Non-financial corporate A-rated bonds – Yield – 5 year target tenor,Non-financial corporate A-rated bonds – Effective tenor – 7 year target tenor,Non-financial corporate A-rated bonds – Yield – 7 year target tenor,Non-financial corporate A-rated bonds – Effective tenor – 10 year target tenor,Non-financial corporate A-rated bonds – Yield – 10 year target tenor,Non-financial corporate A-rated bonds – Number of bonds – 1–4 years,Non-financial corporate A-rated bonds – Number of bonds – 4–6 years,Non-financial corporate A-rated bonds – Number of bonds – 6–8 years,Non-financial corporate A-rated bonds – Number of bonds – 8–12 years,Non-financial corporate A-rated bonds – Number of bonds – >12 years,Non-financial corporate BBB-rated bonds – Effective tenor – 3 year target tenor,Non-financial corporate BBB-rated bonds – Yield – 3 year target tenor,Non-financial corporate BBB-rated bonds – Effective tenor – 5 year target tenor,Non-financial corporate BBB-rated bonds – Yield – 5 year target tenor,Non-financial corporate BBB-rated bonds – Effective tenor – 7 year target tenor,Non-financial corporate BBB-rated bonds – Yield – 7 year target tenor,Non-financial corporate BBB-rated bonds – Effective tenor – 10 year target tenor,Non-financial corporate BBB-rated bonds – Yield – 10 year target tenor,Non-financial corporate BBB-rated bonds – Number of bonds – 1–4 years,Non-financial corporate BBB-rated bonds – Number of bonds – 4–6 years,Non-financial corporate BBB-rated bonds – Number of bonds – 6–8 years,Non-financial corporate BBB-rated bonds – Number of bonds – 8–12 years,Non-financial corporate BBB-rated bonds – Number of bonds – >12 years
Description,"Non-financial corporate A-rated bonds – Effective tenor – 3 year target tenor: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Yield – 3 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate A-rated bonds – Effective tenor – 5 year target tenor: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Yield – 5 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate A-rated bonds – Effective tenor – 7 year target tenor: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Yield – 7 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate A-rated bonds – Effective tenor – 10 year target tenor: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Yield – 10 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate A-rated bonds – Number of bonds with a residual maturity of 1-4 years: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Number of bonds with a residual maturity of 4-6 years: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Number of bonds with a residual maturity of 6-8 years: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Number of bonds with a residual maturity of 8-12 years: monthly, years; See notes for more details","Non-financial corporate A-rated bonds – Number of bonds with a residual maturity of 12+ years: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Effective tenor – 3 year target tenor: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Yield – 3 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate BBB-rated bonds – Effective tenor – 5 year target tenor: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Yield – 5 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate BBB-rated bonds – Effective tenor – 7 year target tenor: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Yield – 7 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate BBB-rated bonds – Effective tenor – 10 year target tenor: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Yield – 10 year target tenor: monthly, per cent; See notes for more details","Non-financial corporate BBB-rated bonds – Number of bonds with a residual maturity of 1-4 years: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Number of bonds with a residual maturity of 4-6 years: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Number of bonds with a residual maturity of 6-8 years: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Number of bonds with a residual maturity of 8-12 years: monthly, years; See notes for more details","Non-financial corporate BBB-rated bonds – Number of bonds with a residual maturity of 12+ years: monthly, years; See notes for more details"
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Units,Years,Per cent,Years,Per cent,Years,Per cent,Years,Per cent,Number,Number,Number,Number,Number,Years,Per cent,Years,Per cent,Years,Per cent,Years,Per cent,Number,Number,Number,Number,Number
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA,Bloomberg; RBA
Publication date,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25,14-Jul-25
Series ID,FNFTA3M,FNFYA3M,FNFTA5M,FNFYA5M,FNFTA7M,FNFYA7M,FNFTA10M,FNFYA10M,FNFNA3M,FNFNA5M,FNFNA7M,FNFNA10M,FNFNA12M,FNFTBBB3M,FNFYBBB3M,FNFTBBB5M,FNFYBBB5M,FNFTBBB7M,FNFYBBB7M,FNFTBBB10M,FNFYBBB10M,FNFNBBB3M,FNFNBBB5M,FNFNBBB7M,FNFNBBB10M,FNFNBBB12M
31/01/2005,2.68,5.95,4.02,6.00,7.58,6.18,8.93,6.24,20,3,3,4,0,3.29,6.10,5.62,6.35,7.15,6.50,7.95,6.58,4,1,2,2,0
