Bedroom,LGA,Period,Affordable,Percent
1br,Alpine,2000-03-01 00:00:00,3,1
1br,Alpine,2000-06-01 00:00:00,2,0.4
1br,Alpine,2000-09-01 00:00:00,3,1
1br,Alpine,2000-12-01 00:00:00,1,1
1br,Alpine,2001-03-01 00:00:00,2,1
1br,Alpine,2001-06-01 00:00:00,4,0.667
1br,Alpine,2001-09-01 00:00:00,1,1
1br,Alpine,2001-12-01 00:00:00,1,0.5
1br,Alpine,2002-03-01 00:00:00,1,1
1br,Alpine,2002-06-01 00:00:00,3,0.75
1br,Alpine,2002-09-01 00:00:00,2,0.667
1br,Alpine,2002-12-01 00:00:00,2,0.667
1br,Alpine,2003-03-01 00:00:00,3,0.75
1br,Alpine,2003-06-01 00:00:00,4,0.667
1br,Alpine,2003-09-01 00:00:00,1,1
1br,Alpine,2003-12-01 00:00:00,1,0.5
1br,Alpine,2004-03-01 00:00:00,1,0.25
1br,Alpine,2004-06-01 00:00:00,3,0.6
1br,Alpine,2004-09-01 00:00:00,6,0.75
1br,Alpine,2004-12-01 00:00:00,3,1
1br,Alpine,2005-03-01 00:00:00,4,0.8
1br,Alpine,2005-06-01 00:00:00,5,0.556
1br,Alpine,2005-09-01 00:00:00,6,0.857
1br,Alpine,2005-12-01 00:00:00,6,0.75
1br,Alpine,2006-03-01 00:00:00,1,0.5
1br,Alpine,2006-06-01 00:00:00,1,0.5
1br,Alpine,2006-09-01 00:00:00,1,0.25
1br,Alpine,2006-12-01 00:00:00,3,0.6
1br,Alpine,2007-03-01 00:00:00,1,0.333
1br,Alpine,2007-06-01 00:00:00,1,0.2
1br,Alpine,2007-09-01 00:00:00,1,0.5
1br,Alpine,2007-12-01 00:00:00,3,0.5
1br,Alpine,2008-03-01 00:00:00,3,0.429
1br,Alpine,2008-06-01 00:00:00,1,0.5
1br,Alpine,2008-09-01 00:00:00,0,0
1br,Alpine,2008-12-01 00:00:00,1,0.5
1br,Alpine,2009-03-01 00:00:00,1,0.167
1br,Alpine,2009-06-01 00:00:00,2,0.4
1br,Alpine,2009-09-01 00:00:00,0,0
1br,Alpine,2009-12-01 00:00:00,0,0
1br,Alpine,2010-03-01 00:00:00,2,0.5
1br,Alpine,2010-06-01 00:00:00,3,0.75
1br,Alpine,2010-09-01 00:00:00,3,0.429
1br,Alpine,2010-12-01 00:00:00,2,0.4
1br,Alpine,2011-03-01 00:00:00,1,0.333
1br,Alpine,2011-06-01 00:00:00,4,0.571
1br,Alpine,2011-09-01 00:00:00,1,1
1br,Alpine,2011-12-01 00:00:00,0,0
1br,Alpine,2012-03-01 00:00:00,1,0.25
1br,Alpine,2012-06-01 00:00:00,2,0.25
1br,Alpine,2012-09-01 00:00:00,0,0
1br,Alpine,2012-12-01 00:00:00,0,0
1br,Alpine,2013-03-01 00:00:00,0,0
1br,Alpine,2013-06-01 00:00:00,3,0.429
1br,Alpine,2013-09-01 00:00:00,0,0
1br,Alpine,2014-03-01 00:00:00,2,0.286
1br,Alpine,2014-06-01 00:00:00,2,0.667
1br,Alpine,2014-09-01 00:00:00,1,0.333
1br,Alpine,2014-12-01 00:00:00,2,0.4
1br,Alpine,2015-03-01 00:00:00,0,0
1br,Alpine,2015-06-01 00:00:00,1,0.25
